team,name,position,role,active_roster_date,batting_order,contact,power,discipline,speed,stuff,control,stamina,stats_date,rating_source,sample_note
LG 트윈스,이영빈,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,박해민,외야수,batter,2026-07-23,,59,36,56,70,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
LG 트윈스,최원영,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,홍창기,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,이재원,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,송찬의,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,문성주,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,곽도규,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,조상우,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,이형범,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,올러,투수,pitcher,2026-07-23,,0,0,0,0,76,65,85,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
KIA 타이거즈,네일,투수,pitcher,2026-07-23,,0,0,0,0,57,71,83,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
KIA 타이거즈,황동하,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,이태양,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,이의리,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,김범수,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,전상현,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,양현종,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,한재승,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,정해영,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,시라카와,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,성영탁,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,주효상,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,한준수,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,정현창,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,김규성,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,윤도현,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,변우혁,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,김선빈,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,김도영,내야수,batter,2026-07-23,,58,80,67,70,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
KIA 타이거즈,박상준,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,박정우,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,박재현,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,카스트로,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,김호령,외야수,batter,2026-07-23,,50,52,42,66,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
KIA 타이거즈,김민규,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KIA 타이거즈,나성범,외야수,batter,2026-07-23,,54,69,63,47,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
두산 베어스,박치국,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,타카다,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,김정우,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
두산 베어스,최승용,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
