game_id,date,away,home,venue,schedule_type
234,2026-05-21,KT 위즈,삼성 라이온즈,대구,announced_135
235,2026-05-21,LG 트윈스,KIA 타이거즈,광주,announced_135
236,2026-05-22,키움 히어로즈,LG 트윈스,잠실,announced_135
237,2026-05-22,NC 다이노스,KT 위즈,수원,announced_135
238,2026-05-22,두산 베어스,한화 이글스,대전,announced_135
239,2026-05-22,SSG 랜더스,KIA 타이거즈,광주,announced_135
240,2026-05-22,삼성 라이온즈,롯데 자이언츠,사직,announced_135
241,2026-05-23,키움 히어로즈,LG 트윈스,잠실,announced_135
242,2026-05-23,NC 다이노스,KT 위즈,수원,announced_135
243,2026-05-23,두산 베어스,한화 이글스,대전,announced_135
244,2026-05-23,SSG 랜더스,KIA 타이거즈,광주,announced_135
245,2026-05-23,삼성 라이온즈,롯데 자이언츠,사직,announced_135
246,2026-05-24,키움 히어로즈,LG 트윈스,잠실,announced_135
247,2026-05-24,NC 다이노스,KT 위즈,수원,announced_135
248,2026-05-24,두산 베어스,한화 이글스,대전,announced_135
249,2026-05-24,SSG 랜더스,KIA 타이거즈,광주,announced_135
250,2026-05-24,삼성 라이온즈,롯데 자이언츠,사직,announced_135
251,2026-05-26,KT 위즈,두산 베어스,잠실,announced_135
252,2026-05-26,KIA 타이거즈,키움 히어로즈,고척,announced_135
253,2026-05-26,삼성 라이온즈,SSG 랜더스,문학,announced_135
254,2026-05-26,LG 트윈스,롯데 자이언츠,사직,announced_135
255,2026-05-26,한화 이글스,NC 다이노스,창원,announced_135
256,2026-05-27,KT 위즈,두산 베어스,잠실,announced_135
257,2026-05-27,KIA 타이거즈,키움 히어로즈,고척,announced_135
258,2026-05-27,삼성 라이온즈,SSG 랜더스,문학,announced_135
259,2026-05-27,LG 트윈스,롯데 자이언츠,사직,announced_135
260,2026-05-27,한화 이글스,NC 다이노스,창원,announced_135
261,2026-05-28,KT 위즈,두산 베어스,잠실,announced_135
262,2026-05-28,KIA 타이거즈,키움 히어로즈,고척,announced_135
263,2026-05-28,삼성 라이온즈,SSG 랜더스,문학,announced_135
264,2026-05-28,LG 트윈스,롯데 자이언츠,사직,announced_135
265,2026-05-28,한화 이글스,NC 다이노스,창원,announced_135
266,2026-05-29,KIA 타이거즈,LG 트윈스,잠실,announced_135
267,2026-05-29,KT 위즈,키움 히어로즈,고척,announced_135
268,2026-05-29,SSG 랜더스,한화 이글스,대전,announced_135
269,2026-05-29,두산 베어스,삼성 라이온즈,대구,announced_135
270,2026-05-29,롯데 자이언츠,NC 다이노스,창원,announced_135
271,2026-05-30,KIA 타이거즈,LG 트윈스,잠실,announced_135
272,2026-05-30,KT 위즈,키움 히어로즈,고척,announced_135
273,2026-05-30,SSG 랜더스,한화 이글스,대전,announced_135
274,2026-05-30,두산 베어스,삼성 라이온즈,대구,announced_135
275,2026-05-30,롯데 자이언츠,NC 다이노스,창원,announced_135
276,2026-05-31,KIA 타이거즈,LG 트윈스,잠실,announced_135
277,2026-05-31,KT 위즈,키움 히어로즈,고척,announced_135
278,2026-05-31,SSG 랜더스,한화 이글스,대전,announced_135
279,2026-05-31,두산 베어스,삼성 라이온즈,대구,announced_135
280,2026-05-31,롯데 자이언츠,NC 다이노스,창원,announced_135
281,2026-06-02,한화 이글스,두산 베어스,잠실,announced_135
282,2026-06-02,키움 히어로즈,SSG 랜더스,문학,announced_135
283,2026-06-02,LG 트윈스,KT 위즈,수원,announced_135
284,2026-06-02,NC 다이노스,삼성 라이온즈,대구,announced_135
285,2026-06-02,롯데 자이언츠,KIA 타이거즈,광주,announced_135
286,2026-06-03,한화 이글스,두산 베어스,잠실,announced_135
287,2026-06-03,키움 히어로즈,SSG 랜더스,문학,announced_135
288,2026-06-03,LG 트윈스,KT 위즈,수원,announced_135
289,2026-06-03,NC 다이노스,삼성 라이온즈,대구,announced_135
290,2026-06-03,롯데 자이언츠,KIA 타이거즈,광주,announced_135
291,2026-06-04,한화 이글스,두산 베어스,잠실,announced_135
292,2026-06-04,키움 히어로즈,SSG 랜더스,문학,announced_135
293,2026-06-04,LG 트윈스,KT 위즈,수원,announced_135
294,2026-06-04,NC 다이노스,삼성 라이온즈,대구,announced_135
295,2026-06-04,롯데 자이언츠,KIA 타이거즈,광주,announced_135
296,2026-06-05,키움 히어로즈,두산 베어스,잠실,announced_135
297,2026-06-05,KT 위즈,SSG 랜더스,문학,announced_135
298,2026-06-05,삼성 라이온즈,KIA 타이거즈,광주,announced_135
299,2026-06-05,한화 이글스,롯데 자이언츠,사직,announced_135
300,2026-06-05,LG 트윈스,NC 다이노스,창원,announced_135
301,2026-06-06,키움 히어로즈,두산 베어스,잠실,announced_135
302,2026-06-06,KT 위즈,SSG 랜더스,문학,announced_135
303,2026-06-06,삼성 라이온즈,KIA 타이거즈,광주,announced_135
304,2026-06-06,한화 이글스,롯데 자이언츠,사직,announced_135
305,2026-06-06,LG 트윈스,NC 다이노스,창원,announced_135
306,2026-06-07,키움 히어로즈,두산 베어스,잠실,announced_135
307,2026-06-07,KT 위즈,SSG 랜더스,문학,announced_135
308,2026-06-07,삼성 라이온즈,KIA 타이거즈,광주,announced_135
309,2026-06-07,한화 이글스,롯데 자이언츠,사직,announced_135
310,2026-06-07,LG 트윈스,NC 다이노스,창원,announced_135
